reviewId,content,score
8e243f30-83bc-4337-b106-022350bb8fe4,was an amazing app.,5
5fa49f8b-a380-4b6e-8add-2612927a5087,splendid,3
f0f5fee9-3eaa-482a-8050-7768ed59b58b,Di naganaa ／,1
e6566555-4ce4-4e94-aa84-4975306f6daa,best,5
f063c11b-e5b5-4623-91a4-cf2177197442,good,5
1ce5d950-3e07-4255-b060-e07e741c3baa,very nice,5
7720ff63-2e76-4fe1-8660-903467a12e32,bring the best,5
0caeca05-51db-46ed-8474-7196d95ee4bc,nasiruorabe ddtytgy vcdf adutff eeuhg ddhjh dtggj ffguf ffgde eeuhg tteyga wtej dfte hu klbvb nbcçx sssshh ccvxc 2ssvzqqn ddbvjre tteyga wrshd uugfk ohffjj ffgjjb offer TD ggigryjvcccss swrewyvc jbbdhjhi knccbnng fdfydf hbbv gvbfsf vvmkbc fcgfss bhxdds dxxfxzd ggbvc ccgxfss cxddgcx fxxbvczs cxvjj gffddhggxxcxz tvcxsbvb nhggfss .....bxdfdd dcxdsddd hey there hello,3
af37c799-575e-469e-bef1-c508be889fdd,Facebook is a nice app i love it 😀,5
f7366a89-c99a-47b1-a236-d8108d4f8262,nice,5
606f684b-a4d0-4729-abdc-8edcb6a895d5,best of Best,5
aba3666b-2132-4d96-ba1e-784e6c483f31,လှပါ့,5
46d2ef96-9003-4d33-ac34-db0172b6cfbf,This app is simply the best,5
53104b9f-9a8a-43a8-8475-a66b23777413,Every update on issue some technical problem reels not showing and loading issue,1
41c892ac-025f-4596-9e8c-849d91b56a17,ok,1
9ed693f4-eded-4372-9ae2-40a5623926db,❤️❤️❤️,5
fe41a4a5-eba2-44ec-8660-71039d6818ac,nice,5
c50b73d4-e5af-4909-9251-7b7cedd9ad6c,very good,5
13c911ee-6353-4be6-a8cd-b36609741000,it's good,3
7f321ef0-1d2a-40db-8533-3f1c24d713a5,it's very nice this app,4
98664f4f-c930-4c57-99c7-b009a9005b48,nice,1
96853c80-444f-4a16-88a4-775f872fd58b,wow,5
4a54d42d-f49c-4f0b-bdeb-4981a2a7e60a,uhgc,5
c71c7984-6d10-4f65-8103-8841002277db,updAte,5
ff51c74c-2439-48a8-bd83-dd88b9d525d5,easy for communication or communicating,4
984ed0b7-1170-47e5-94e0-ca0ebc057481,very good to reach more people 👏,5
a3e96640-b2cf-4abe-b77d-38fae2cf0892,dear Facebook team please reactived my account 🙏 thank you team,5
18ccea90-8475-44b3-b1a6-3c50e36dce27,good,5
40d8badd-fed1-470f-a94c-71bd9a58a9ea,best app even better then the original Facebook app. keep up the amazing work guys,5
6c302b20-b203-45bf-9fc4-c13700e86882,thanks Facebook!!!!,5
987bf533-b187-41d8-983d-fd7a41150b87,maganda Ang apps nato,5
d68beb24-67ee-4281-b102-a03fb83cfbd7,good app,5
e66b5cb0-8c37-414f-997d-6d495829309f,nice,5
bd1e7a58-8f37-4707-a88e-2ba170af6ecf,Excellently ok,5
9eaa38b6-f0b3-4314-ac5f-426685301ab7,"a FB members stupid items keep showing up in my newsfeed. i have unfollowed, blocked their profile and clicked the x many times. FB continues to ram this annoying content down my throat. i guess FB devrlopers do not know how to check their work. so i will refrain from using newsfeed for 30 days. if the junk still aapears, i will double the ban. then triple. etc. i use FB lite. maybe i should try the full version.",2
da80de04-4334-463e-8a47-13ee06e086a6,I love this very much ❤️,5
e6117939-285b-463d-8cd0-6c8ff5ee579e,ok,5
3addaafe-1c9b-4bf7-a076-b624703c127d,can this app allow me to use it forever because I love them,5
60b825ce-cede-4f49-a943-0ec1883c455a,this FB I'm using her give me happy and I'm enjoying this fb well more using,4
d316b812-0b32-41f8-8c4f-bee529791bc0,cool,5
9d53d28d-7331-4a09-9fec-0004bb8f4a23,good,5
c9029655-12c3-409a-a298-710426129800,my favourite lover,5
785f80d4-d9f9-4b9d-acb6-8367e085d9a7,Great 👍,5
7330881f-37be-4340-a514-623bbb5e678d,Facebook lite the best no need download messenger...smooth scroll unlike Facebook low annoying...,3
f1abb0d9-ee2c-40f9-ae58-7b878ae76861,good,5
baf5f114-3b02-4426-8545-55a021f8e408,"30mb bruh bring back the old basic mode . Also when I tried to log in on my own acc it always says ""try again"" bro I cant even log in , I did uninstall it and reopen it but still it didn't work please fix this.",1
e05cfffa-5e68-4bc1-b4c8-530b977dcf57,performance and video quality are not good.,3
3170f681-12ed-4441-b41f-9047d0a61e9c,xcel ant,5
b94f9716-0080-4627-84af-bba58f9c4e9e,lovely 💞💞💞,5
9a47e149-4314-47c5-92fd-f207ec6cfaee,love,5
f5bc0523-042c-4ba6-bbb3-8bfef90a2558,"fb keeps disabling my account...3 times in 2 yrs. idk why they say download the reason, nothing happens...I'm not posting anything and rarely comment ..so unfair",1
8211ad49-894a-4505-9105-47d705fecea6,very good,5
b592a595-4dea-49e5-b7af-7de7ee21138b,so fast and reliable,5
c9e51d2d-21ee-4aaa-b10d-801562f665ad,oluhle,5
b36b9bcd-1561-41e3-90ec-50b13e00f517,Lite is a very nice app but my account always get suspended for no reason there. like I was just trying to make friends 😕,3
a715f8d9-165a-4ca5-a5c4-6a7691a9e97b,Kenapa malah log out sendiri ? Mau login lagi tidak bisa.,1
add38587-987b-4324-a217-4c7b3472ca34,🥰,5
a3a6a1bb-f015-4168-8b78-0191113467cd,very nice,5
1cc5bf6f-e437-409c-940c-e548dd644aaf,same as you are going on for me good for me good to see you all thanks again great company,5
287225e0-24ea-4393-96c9-891c6c4e2aef,good nice app,5
f9eb9227-2510-40df-a2b0-5c0fb6bd1957,i want my Facebook lite back,5
3068d282-8df6-4cf1-bfee-02d853821b51,excellent,5
5ac7809f-f78b-4b5b-88d9-f99a2735df70,this app makes us believe that we are safe and everything the App needed to function is allowed and necessary however never mentioned that all apps including this one or unnecessarily using every feature it is available on this phone to their advantage spying on us being intrusive collecting data really not important to anyone but us the consumer the people is using these silly apps and not questioning the necessities behind it every day we hear and see videos explaining why and who and what peo,1
d5612e96-2ed9-495f-a4d9-8c649a059bde,to find my family,5
e15252a3-67c5-4cf7-af53-e20745ee0c2c,nice app,5
79b33aa9-463f-4cdb-8449-e8541da4c641,What a sweet app,5
e05d29b3-1aa6-4676-83c2-67bd9d382d24,good app,4
e79b65d5-7d7a-454c-8c42-d8fc5218cec5,❤❤❤❤,5
7a946ef9-3107-4757-bcec-8420235c2c3c,very good and very fast loading so experiences and why not let me add friends they don't let me adds anyone's please help me to fixed it thanks,5
4c14c87b-6029-4eed-abd1-862bd1ec0a04,I'm not insulting other people,5
9571cc00-cb1e-48fa-befc-83dd6c01906e,"The more you use the app,the more it becomes slower which sometimes affect the overall usability of the app.",5
fc69d973-9206-4552-b6aa-164a9a305657,five star for Facebook Creator and the app,5
8c071d64-cfb2-4d36-83ea-a3b7c4a98d6a,বালো,5
90c84b1b-3006-45bd-942e-19ec2f45bb93,"There are kids on Facebook, on the other side, there are people sharing nude content freely...",1
7c1471f2-36c3-4000-aea0-3a0e90ae1571,cool,5
75dc7dab-5f77-4a2b-8ae6-ebec0e0b6c47,yeeeeeerrrr,3
1509fc76-0c41-4a3a-8b5e-9b518f09a32a,very bed,1
