reviewId,content,score
4cf2b947-9398-4d7a-95b3-f7bc7aac991e,very nice apps.,5
25467d1b-3d6e-4bf5-811d-0a1dfe62c5c7,palubog lageng na baban acc ko,1
3989b668-874c-483c-9d5a-7fc861dd091d,excellent,5
ab1beb98-2611-42e0-b20c-62794734f78c,I like the giveaway is for babies or mother's to be or women who just had a baby,5
7901ffc1-4a2f-48e4-8dea-5a535688a3cb,Good very good,5
00534cdd-2225-454d-9b26-0cec37d7e27c,facebook has ai meta but they activities are in the stone age i want you put like I'm see the ufc and I can't 😔,2
b3ad5e6d-3a07-4874-9a95-f7f8b8ace571,nice Work,5
4f3f33e9-5595-444b-bd46-b866276f6f6b,ayaw mag log in ng account ko kaya isang star lang rating ko dito kahilig nyo magsuspend ng account wala naman ako violation sa ginawa kong fb account kadissapoint sa totoo lang walang awa si meta sa fb account ko,1
6c6b536a-9abb-4bc8-9824-2bf91da0dcd4,Great!! No more options!,5
ffa92313-8609-4b7e-9610-02ec8dbfc142,"All I see is pages I don't even follow, or content creators. I very rarely see my actual Friends post! I miss the old Facebook 😪",1
fe40754e-228d-4afc-bd39-5f20bff42e74,👍,5
f6107cbd-298b-44e4-b3c9-2ce578085eee,you my ok,5
08ee0fe0-aea1-4ad1-8bc7-ed7aa4e90c10,heart,5
b69681d8-3e96-4c9b-828d-69be31aae3c3,top notch can speak are mind clearly and actually not get removed like before. Also eryone is using Face Book now its tha spot sir 💯!!,5
c6239e45-cadf-4420-a538-60b5159ef387,Amazing,5
ff1d2af5-a45b-4bd0-b0f6-a2a97fc22316,good,4
a4407518-0757-4732-ad68-910af500e03e,cool😊,5
efb25d2b-cb7f-47b3-8bec-8ccd28761105,my feverit,5
7c457f9e-abee-432c-921d-98147f4f398c,quality,5
3cbc9365-1735-4d9e-9aaf-ee142668eba7,nice,5
04e0471e-fcaa-4991-af6f-3f426ebd1048,ok,5
2da70ac4-77a0-4a6c-8452-577930b8e30c,"I can't comment or respond to people on my Fb feed or messenger in groups? Reactions choices in the way..accidentally reacting while scrolling 👍👎 put them back! What happened to memories? SHADOWBANNING ME‼️ Isn't there a class action lawsuit because of this? Received a settlement 2 days ago so that tells u they were guilty. Reviews stay the same? Can't share from news post that isn't liberal. Foreign, fake reviews! Spam & nudity in yard sale groups ..not safe. Can't find fb friends!!",1
2e4b80db-844d-43c2-bdb0-fdd7c9cafbcf,অনেক সুন্দর,5
8ea3fa3f-e3c5-4404-ada4-d74920328371,good,5
f36ec8c9-86bb-4780-b1a1-ce7e43959906,super,5
21b2beb7-3cf4-4b1c-83fd-2050ae5f5fc3,"Buen contenido por fa, gracias.",5
cdaa508e-16e5-4718-8731-2fed2790fb51,ok,5
c8b563c3-67f4-4bed-8f55-4a1fd3ee8ef9,shop,5
934d48c8-12d4-41a9-b9ad-bdaecafa5f2d,all scammers mostly,1
2e765595-1052-46ef-b503-6959e21285b2,That Girl Gooooot 🫶🏿,5
3d73fb0d-691c-4c13-ad8a-6fd42153b7be,"kpr tanur profile has some issues For the sake of God, please change this.",5
8169b443-e581-468a-b36a-6553cf2855c4,nice looking,5
18060282-f801-4414-ab66-9cb282755cc7,Is always the best for the world,5
41f6a87a-666c-49af-850d-0b6c43003bf2,nice,5
9d38905d-e059-4193-8a4c-857490467d9b,Excellent,5
5a0be8f0-8bc1-46b5-99f7-1d567af83fa8,LOTS OF ADS!!!!!!!!,1
8cded111-1b3e-4f8e-baf7-397dbc97c3d8,good,5
